Options,Statement,Location,Variables,Num of config var,Num of program var,,,,
key_cache_block_size,if ((block->status &32) &&(!offset && read_length >= keycache->key_cache_block_size)),n,1,3,num,,,,
"key_cache_block_size,preload_buff_size",if (length > (key_file_length - pos)),n,1,2,num,,,,
key_cache_block_size,if (keyinfo[i].block_length != block_length),n,1,1,num,,,,
key_cache_block_size,if ((key_cache_block_size = atoi(++pos)) < 1024 ||key_cache_block_size >16384),n,1,1,num,,,,
key_cache_block_size,"if (key_cache_insert(share->key_cache, keycache_thread_var(),share->kfile, pos, 3, (uchar *)buff,block_length))",y,1,4,num,,,,
"large_pages  ,large_page_size",if (opt_large_pages && (opt_large_page_size = my_get_large_page_size())),y,2,0,"bool,num",,,,
large_pages,if (opt_large_pages),n,1,0,bool,,,,
large_pages,if ((os_use_large_pages = opt_large_pages)),n,1,1,bool,,,,
local_infile,if (using_opt_local_infile),n,1,0,bool,,,,
local_infile,if (!thd->get_protocol()->has_client_capability(CLIENT_LOCAL_FILES) ||!opt_local_infile) ,y,1,1,bool,,,,
lock_wait_timeout,"if (thd->mdl_context.acquire_lock(&schema_request,thd->variables.lock_wait_timeout))",y,1,1,num,,,,
lock_wait_timeout,if (lock_wait_timeout == 0),n,1,0,num,,,,
lock_wait_timeout,"if (thd->mdl_context.acquire_locks(&mdl_requests,thd->variables.lock_wait_timeout))",y,1,1,num,,,,
lock_wait_timeout,if (lock_wait_timeout < std::chrono::hours(27)),n,1,0,num,,,,
lock_wait_timeout,"if (m_thd->mdl_context.acquire_locks(&mdl_requests, lock_wait_timeout))",y,1,1,num,,,,
locked_in_memory,if (locked_in_memory && !getuid()),y,1,0,bool,,,,
locked_in_memory,if (locked_in_memory),n,1,0,bool,,,,
log_output,if (log_printer & 1),n,1,0,enum,,,,
log_output,if (log_output_options & LOG_TABLE),n,1,0,enum,,,,
log_output,if ((log_output_options & LOG_NONE) && (log_output_options & ~LOG_NONE)),n,1,0,enum,,,,
"log_slow_admin_statements,log_queries_not_using_indexes",if ((opt_log_slow_admin_statements || opt_log_queries_not_using_indexes ||opt_log_slow_replica_statements) &&!opt_slow_log),n,2,2,,,,,
log_slow_extra,if (opt_log_slow_extra),n,1,0,bool,,,,
"connect_timeout,long_query_time",if (opt_network_timeout || long_query_time_opt_provided),n,2,0,,,,,
connect_timeout,if (opt_network_timeout),n,1,0,num,,,,
long_query_time,if (long_query_time_opt_provided),n,1,0,bool,,,,
low_priority_updates,if (global_system_variables.low_priority_updates),n,1,0,bool,,,,
"lower_case_table_names,lower_case_file_system",if (!lower_case_table_names && lower_case_file_system == 1),n,2,0,,,,,
lower_case_table_names,if (lower_case_table_names_used),n,1,0,num,,,,
"lower_case_table_names,lower_case_file_system",if (lower_case_table_names == 2 &&!(lower_case_file_system =(test_if_case_insensitive(mysql_real_data_home) == 1))),y,2,1,,,,,
lower_case_file_system,if (!lower_case_file_system),n,1,0,bool,,,,
